품목코드,품목명,상품명,재고수량,안전재고
"P0000BRS000I","프리미엄 핵이득 궁중 LA갈비 1.9kg (선물상자+감사카드 무료증정) + 보냉팩 포장","[무료배송/특가] 프리미엄 핵이득 궁중 LA갈비 1.9kg (선물상자+감사카드 무료증정)","509","0"
"P0000BOO000C","볼카츠1 + 김밥2종(매운불닭+미친불닭)","핵이득 꿀조합 간편식세트 [볼카츠+김밥2종]","1402","0"
"P0000BMV000A","미니 트리플치즈 피자 138g","[초특가!] PC방 미니피자 3종 골라담기","306","2"
"P0000BMV000B","미니 트러플불고기 피자 138g","[초특가!] PC방 미니피자 3종 골라담기","292","3"
"P0000BMV000C","미니 앵그리 꼬꼬 피자 138g","[초특가!] PC방 미니피자 3종 골라담기","30","56"
"P0000BLT000A","","가마솥으로 푹 끓인 김치찜 800g","1237","7"
"P0000BLD000A","한맥 포켓 양념치킨 180g","[초특가!] 포켓치킨 4종 골라담기","76","1"
"P0000BLD000B","한맥 포켓 데리야끼 180g","[초특가!] 포켓치킨 4종 골라담기","238","2"
"P0000BLD000C","한맥 포켓 핫 후라이드 190g","[초특가!] 포켓치킨 4종 골라담기","173","1"
"P0000BLD000D","한맥 포켓 어니언 크림맛 180g","[초특가!] 포켓치킨 4종 골라담기","169","5"
"P0000BLC000A","한맥 불벅 145g","[초특가!] PC방 햄버거 6종 골라담기","0","50"
"P0000BLC000B","한맥 더블벅 210g","[초특가!] PC방 햄버거 6종 골라담기","0","50"
"P0000BLC000C","한맥 트리플치즈버거155g","[초특가!] PC방 햄버거 6종 골라담기","-2","14"
"P0000BLC000D","한맥 마시따 150g","[초특가!] PC방 햄버거 6종 골라담기","0","22"
"P0000BLC000E","한맥 피자리오 180g","[초특가!] PC방 햄버거 6종 골라담기","115","50"
"P0000BLC000F","한맥 매콤치킨버거 190g","[초특가!] PC방 햄버거 6종 골라담기","140","3"
"P0000BLA000Q","프리미엄 핵이득 궁중 양념LA갈비 950G","[특가] 프리미엄 핵이득 궁중 양념LA갈비 950G","0","50"
"P0000BJX000A","","상하이식 해물찹쌀 누룽지탕 450g","2","0"
"P0000BJW000A","","간사이풍 소고기 스키야키 440g","0","0"
"P0000BJV000E","국내산 등심 롱롱 돈까스 320g","국내산 등심 롱롱 돈까스 320g","0","0"
"P0000BJV000F","맛깔소스 90g","국내산 등심 롱롱 돈까스 320g","0","0"
"P0000BJU000E","끝까지 바삭한 통통 치즈 돈까스 350g","끝까지 바삭한  통통 치즈 돈까스 350g","-1","0"
"P0000BJU000F","맛깔소스 90g","끝까지 바삭한  통통 치즈 돈까스 350g","29","0"
"P0000BJN000C","","[한정특가] 비주얼 끝판왕! 돈마호크 카츠 340g","0","0"
"P0000BJI000D","소고기국밥 700g","푸짐한 건더기가 들어간 얼큰 소고기 국밥 700g","0","0"
"P0000BJI000F","오뚜기 밥 200g *3개입","푸짐한 건더기가 들어간 얼큰 소고기 국밥 700g","10","1"
"P0000BJH000B","햄참치마요","리얼 햄 참치마요 & 햄 볶음 김치 사각김밥 2종","0","0"
"P0000BJH000C","햄볶음김치","리얼 햄 참치마요 & 햄 볶음 김치 사각김밥 2종","0","0"
"P0000BJC000A","","더 건강한 캔햄 200g 1박스 20개입 (개당 1,340원)","0","0"
